MetabolightsId	InChIKey	HasPathways	KEGGPathways	WikiPathways	ReactomePathways
MTBLC10	XGEAUXVPBXUBKN-NSOVKSMOSA-N	0			
MTBLC100	NSRJSISNDPOJOP-BBRMVZONSA-N	0			
MTBLC10003	BGHCVCJVXZWKCC-UHFFFAOYSA-N	0			
MTBLC100147	MHWLWQUZZRMNGJ-UHFFFAOYSA-N	0			
MTBLC10015	TYPMTMPLTVSOBU-XJHWFDBESA-N	0			
MTBLC10016	IIMPGJMHQMBXKL-OPDPKHDKSA-N	0			
MTBLC10017	OXQKEKGBFMQTML-KVTDHHQDSA-N	0			
MTBLC10018	JRCWYCAEAZEYNW-WTMYBKBASA-N	0			
MTBLC10022	LINOMUASTDIRTM-LZTLOYDTSA-N	0			
MTBLC100241	MYSWGUAQZAJSOK-UHFFFAOYSA-N	0			
MTBLC10033	LIIALPBMIOVAHH-UHFFFAOYSA-N	0			
MTBLC10037	XQDCKJKKMFWXGB-UHFFFAOYSA-N	0			
MTBLC10038	KIMDVVKVNNSHGZ-UHFFFAOYSA-N	0			
MTBLC10041	SASUFNRGCZMRFD-JCUIILOWSA-N	0			
MTBLC10043	XLTFNNCXVBYBSX-UHFFFAOYSA-N	0			
MTBLC10045	NQZCQIDFBYCBAU-JHGYFVHDSA-N	0			
MTBLC10046	ZLZFXXJOALTVDA-JWAQTBJPSA-N	0			
MTBLC10048	YMOPVQQBWLGDOD-UUOKFMHZSA-N	0			
MTBLC10049	CAEFEWVYEZABLA-UUOKFMHZSA-N	1	ko00230	WP1851,WP1693,WP2185	R-HSA-15869,R-SSC-15869,R-CEL-15869,R-SPO-15869,R-BTA-15869,R-CFA-15869,R-MMU-15869,R-GGA-15869,R-RNO-15869,R-PFA-15869,R-OSA-15869,R-ATH-15869,R-DME-15869,R-TGU-15869,R-SCE-15869,R-DDI-15869,R-DRE-15869
MTBLC100529	JUBZNFCZFZOAAP-MSNAGZIKSA-N	0			
MTBLC10072	FBZONXHGGPHHIY-UHFFFAOYSA-N	0			
MTBLC10083	RFWCCZDSXIZJMF-CQSZACIVSA-N	0			
MTBLC10084	YOAUKNYXWBTMMF-KRWDZBQOSA-N	0			
MTBLC10092	IDTIOCYBMWJUGJ-JEEHKKCPSA-N	0			
MTBLC10093	BLGXFZZNTVWLAY-SCYLSFHTSA-N	1		WP1825,WP1824	R-HSA-418594,R-HSA-420499,R-XTR-418594,R-XTR-420499,R-SSC-418594,R-SSC-420499,R-CFA-418594,R-CFA-420499,R-BTA-418594,R-BTA-420499,R-MMU-418594,R-MMU-420499,R-GGA-418594,R-GGA-420499,R-RNO-418594,R-RNO-420499,R-DRE-418594,R-TGU-418594,R-TGU-420499
MTBLC10103	XFVLNEYIZGZDHP-PEDHHIEDSA-N	0			
MTBLC10106	MBMQEIFVQACCCH-QBODLPLBSA-N	0			
MTBLC10111	KCVXNPDAHDGXFD-YOVYLDAJSA-N	0			
MTBLC10120	SPFBVQWRJFUDBB-FYBFSNJASA-N	0			
MTBLC10130	NPNDUIMQBJIGQS-IDFKWMMPSA-N	0			
MTBLC10136	NLDDIKRKFXEWBK-AWEZNQCLSA-N	0			
MTBLC10150	UUOWTYGESRVWCF-WKWFDMPLSA-N	0			
MTBLC101853	ZRCVYEYHRGVLOC-HYARGMPZSA-N	0			
MTBLC10216	IRAQOCYXUMOFCW-OSFYFWSMSA-N	0			
MTBLC10219	TYNQWWGVEGFKRU-AJDPQWBVSA-N	0			
MTBLC10225	VMYXUZSZMNBRCN-CQSZACIVSA-N	0			
MTBLC102257	JIPUKSRBXPZDPW-RRKCRQDMSA-N	0			
MTBLC102265	ASWVTGNCAZCNNR-UHFFFAOYSA-N	0			
MTBLC102328	XZWMZFQOHTWGQE-UHFFFAOYSA-N	0			
MTBLC102466	DTCLUNGDOJEDAI-KVQBGUIXSA-N	0			
MTBLC102485	GAGYTXTVUMXAOC-RRKCRQDMSA-N	0			
MTBLC102517	YJPIHSPFORSHEC-RRKCRQDMSA-N	0			
MTBLC102525	WIFHSKZDPZUSLN-UHFFFAOYSA-N	0			
MTBLC102719	BLGGLLGDRXGJJC-LKEWCRSYSA-N	0			
MTBLC10275	CUXYLFPMQMFGPL-WPOADVJFSA-N	0			
MTBLC10276	YDOTUXAWKBPQJW-NSLWYYNWSA-N	0			
MTBLC10278	FCSRUSQUAVXUKK-VNHYZAJKSA-N	0			
MTBLC10280	CXENHBSYCFFKJS-VDQVFBMKSA-N	0			
MTBLC10283	BBRISSLDTUHWKG-PVMHLSDZSA-K	0			
MTBLC10295	LKDRXBCSQODPBY-BGPJRJDNSA-N	0			
MTBLC103067	QIZONDXKUQRKHI-LKEWCRSYSA-N	0			
MTBLC10319	KJCVRFUGPWSIIH-UHFFFAOYSA-N	0			
MTBLC103211	ICFWXMWHAMIZGF-WNAWUNHNSA-N	0			
MTBLC10324	JGGWNGRBXJWAOC-HKJPBSJPSA-N	0			
MTBLC10329	HLRUKOJSWOKCPP-SYQHCUMBSA-N	0			
MTBLC10334	YHQGMYUVUMAZJR-UHFFFAOYSA-N	0			
MTBLC10352	JFSHUTJDVKUMTJ-QHPUVITPSA-N	0			
MTBLC10353	RKFAZBXYICVSKP-WAYWQWQTSA-N	0			
MTBLC10357	NPNUFJAVOOONJE-GFUGXAQUSA-N	0			
MTBLC10360	QMVPMAAFGQKVCJ-SNVBAGLBSA-N	0			
MTBLC10362	DMASLKHVQRHNES-FKKUPVFPSA-N	0			
MTBLC10363	FSRZGYRCMPZNJF-KHMAMNHCSA-N	0			
MTBLC10365	MVUXMIXDFMUPLL-INIZCTEOSA-N	0			
MTBLC103990	VDJIEKQUDMPHPA-WNAWUNHNSA-N	0			
MTBLC104011	HSMNQINEKMPTIC-UHFFFAOYSA-N	1		WP1935	R-HSA-561048,R-XTR-561048,R-SSC-561048,R-CFA-561048,R-BTA-561048,R-MMU-561048,R-GGA-561048,R-RNO-561048,R-OSA-561048,R-DRE-561048,R-DME-561048,R-TGU-561048
MTBLC104012	LBKBJHVQQNUXGQ-BQUKFSKHSA-N	0			
MTBLC104060	KUECBJOPWMRHEX-UHFFFAOYSA-N	0			
MTBLC104121	PDCWLWQTNQCGRI-IGIWICMZSA-N	0			
MTBLC10417	BOPIMTNSYWYZOC-VNHYZAJKSA-N	0			
MTBLC10418	JSNRRGGBADWTMC-NTCAYCPXSA-N	0			
MTBLC104242	OGWKCGZFUXNPDA-YPKBQUEXSA-N	0			
MTBLC104243	RKUNBYITZUJHSG-UHFFFAOYSA-N	0			
MTBLC10429	QZPQTZZNNJUOLS-UHFFFAOYSA-N	0			
MTBLC10432	JWAZRIHNYRIHIV-UHFFFAOYSA-N	0			
MTBLC10435	SIQKNJDHWYZFFT-IPJQOSJUSA-N	0			
MTBLC10436	IHPKGUQCSIINRJ-UHFFFAOYSA-N	0			
MTBLC104362	KISJWPWNABZPGN-IGIWICMZSA-N	0			
MTBLC10440	PGBNIHXXFQBCPU-ILXRZTDVSA-N	0			
