StudyID	totalMetabolites	totalIdentifiedMetabolites
MTBLS134	8	8
MTBLS432	3311	33
MTBLS428	38	38
MTBLS75	6	6
MTBLS372	0	12
MTBLS171	251	83
MTBLS212	273	271
MTBLS228	152	108
MTBLS35	66	66
MTBLS355	274	229
MTBLS368	61	20
MTBLS6	0	14
MTBLS34	74	74
MTBLS264	136	136
MTBLS99	0	81
MTBLS253	35	34
MTBLS197	6	6
MTBLS43	110	110
MTBLS164	7	7
MTBLS133	6	6
MTBLS226	208	196
MTBLS12	86	86
MTBLS163	46	46
MTBLS93	231	221
MTBLS289	0	221
MTBLS327	45	38
MTBLS54	105	105
MTBLS370	72	177
MTBLS47	99	98
MTBLS16	59	59
MTBLS46	14	14
MTBLS247	178	322
MTBLS77	84	29
MTBLS278	45	43
MTBLS10	1496	8
MTBLS33	79	79
MTBLS333	0	79
MTBLS87	120	120
MTBLS424	22	22
MTBLS71	686	246
MTBLS384	2	2
MTBLS79	0	2
MTBLS316	42	42
MTBLS103	35	29
MTBLS311	267	262
MTBLS176	0	28
MTBLS160	5812	84
MTBLS373	0	0
MTBLS415	0	0
MTBLS113	65	1
MTBLS143	390	368
MTBLS61	25	51
MTBLS8	384	89
MTBLS185	0	89
MTBLS340	37	37
MTBLS38	70	70
MTBLS81	119	116
MTBLS249	24	24
MTBLS242	21	21
MTBLS454	9	9
MTBLS168	0	9
MTBLS36	111	94
MTBLS52	240	96
MTBLS117	377	853
MTBLS91	4582	267
MTBLS234	0	206
MTBLS156	33	33
MTBLS114	0	33
MTBLS293	10525	43
MTBLS210	2000	0
MTBLS354	12	12
MTBLS2	15272	15
MTBLS422	278	57
MTBLS90	216	208
MTBLS203	0	208
MTBLS352	8	8
MTBLS209	0	12
MTBLS56	27	24
MTBLS57	0	24
MTBLS131	6	6
MTBLS169	642	0
MTBLS69	11	11
MTBLS272	122	120
MTBLS235	0	72
MTBLS274	209	1
MTBLS287	1462	80
MTBLS59	36	36
MTBLS30	95	93
MTBLS267	136	136
MTBLS366	18462	0
MTBLS86	0	0
MTBLS27	35	34
MTBLS191	43	43
MTBLS270	22	22
MTBLS175	58	58
MTBLS172	20	20
MTBLS376	201	200
MTBLS149	535	57
MTBLS296	58	44
MTBLS306	64	61
MTBLS67	76	76
MTBLS374	6	6
MTBLS459	2142	3083
MTBLS464	33	59
MTBLS49	898	878
MTBLS283	59	59
MTBLS275	54	53
MTBLS187	74	65
MTBLS378	21	20
MTBLS1	220	64
MTBLS341	15530	0
MTBLS358	339	335
MTBLS315	28355	49
MTBLS55	144	144
MTBLS161	41	41
MTBLS109	6	6
MTBLS140	20	20
MTBLS217	77	67
MTBLS111	6	6
MTBLS224	23	12
MTBLS309	844	798
MTBLS155	27350	130
MTBLS337	39	39
MTBLS23	93	70
MTBLS102	16	16
MTBLS98	10	10
MTBLS435	50	18
MTBLS11	86	86
MTBLS321	33	30
MTBLS193	0	30
MTBLS125	165	164
MTBLS85	0	91
MTBLS126	130	129
MTBLS198	32	16
MTBLS151	30	30
MTBLS189	97	96
MTBLS148	44	44
MTBLS265	136	136
MTBLS273	0	81
MTBLS286	1520	79
MTBLS297	7428	137
MTBLS13	86	86
MTBLS128	12	12
MTBLS281	2984	16
MTBLS326	8	8
MTBLS25	9	9
MTBLS218	19	19
MTBLS216	24	24
MTBLS276	2	2
MTBLS120	3111	2
MTBLS44	107	107
MTBLS42	68	68
MTBLS290	236	218
MTBLS240	19	19
MTBLS100	72	72
MTBLS118	39	39
MTBLS414	24	22
MTBLS92	251	137
MTBLS107	6	6
MTBLS312	373	372
MTBLS5	68	68
MTBLS170	12	12
MTBLS214	26	26
MTBLS215	389	326
MTBLS127	280	280
MTBLS28	3166	0
MTBLS39	239	142
MTBLS188	0	284
MTBLS403	3805	97
MTBLS152	414	120
MTBLS165	120	52
MTBLS129	268	266
MTBLS3	22	22
MTBLS137	0	22
MTBLS41	68	68
MTBLS119	3280	11
MTBLS132	8	8
MTBLS20	2526	451
MTBLS345	325	325
MTBLS237	28	28
MTBLS45	167	85
MTBLS295	21337	67
MTBLS419	19	19
MTBLS166	13	13
MTBLS472	0	26
MTBLS32	82	82
MTBLS177	36	36
MTBLS350	66	66
MTBLS40	172	84
MTBLS194	0	84
MTBLS162	26	26
MTBLS146	0	78
MTBLS178	18	10
MTBLS104	19	19
MTBLS123	214	213
MTBLS427	0	305
MTBLS196	0	183
MTBLS173	65	97
MTBLS233	0	64
MTBLS72	10	30
MTBLS22	68	68
MTBLS322	224	224
MTBLS26	0	672
MTBLS7	86	86
MTBLS88	104	104
MTBLS95	69	49
MTBLS144	17928	7
MTBLS4	47	46
MTBLS112	58	58
MTBLS359	164	96
MTBLS320	200	97
MTBLS256	19	19
MTBLS433	304	20
MTBLS157	39003	66
MTBLS150	487	119
MTBLS338	6283	123
MTBLS364	77	77
MTBLS243	33	33
MTBLS225	649	544
MTBLS291	2160	113
MTBLS331	26	25
MTBLS266	136	136
MTBLS259	610	360
MTBLS110	6	6
MTBLS227	238	0
MTBLS74	642	0
MTBLS24	715	22
MTBLS208	103	102
MTBLS298	632	243
MTBLS154	11881	546
MTBLS229	108	70
MTBLS105	21	21
MTBLS335	670	19
MTBLS263	136	136
MTBLS219	146	139
MTBLS108	6	6
MTBLS317	300	0
MTBLS17	35	34
MTBLS29	55	55
MTBLS174	16	16
MTBLS37	53	47
MTBLS282	0	47
MTBLS124	201	193
MTBLS200	104	54
MTBLS404	116	100
MTBLS292	298	265
MTBLS313	236	162
MTBLS381	2006	0
MTBLS288	31	31
MTBLS461	2902	44
MTBLS14	58	58
MTBLS260	69	68
MTBLS277	0	136
MTBLS319	150	77
MTBLS213	10	10
MTBLS15	53	53
MTBLS385	0	53
MTBLS21	0	53
MTBLS336	25	25
MTBLS362	16050	21
MTBLS19	41	35
MTBLS147	29	29
MTBLS307	164	144
MTBLS96	19	15
MTBLS279	199	195
MTBLS31	54	54
MTBLS280	64	64
MTBLS303	76	76
MTBLS116	31	13
