MetaboLightsID	ChEBIId	CompoundName	KEGGPathwaysMappings
MTBLC100	CHEBI:100	(-)-medicarpin	Isoflavonoid biosynthesis; Biosynthesis of phenylpropanoids; Biosynthesis of secondary metabolites
MTBLC100241	CHEBI:100241	ciprofloxacin	ABC transporters
MTBLC10072	CHEBI:10072	xanthurenic acid	Tryptophan metabolism
MTBLC10136	CHEBI:10136	gingerol	Stilbenoid, diarylheptanoid and gingerol biosynthesis; Biosynthesis of secondary metabolites
MTBLC10280	CHEBI:10280	(E,E)-alpha-farnesene	Sesquiterpenoid and triterpenoid biosynthesis; Biosynthesis of secondary metabolites
MTBLC10319	CHEBI:10319	1-naphthol	Metabolism of xenobiotics by cytochrome P450; Naphthalene family
MTBLC10352	CHEBI:10352	beta-amyrin	Sesquiterpenoid and triterpenoid biosynthesis; Biosynthesis of terpenoids and steroids; Biosynthesis of secondary metabolites
MTBLC10360	CHEBI:10360	(R)-(+)-citronellol	Geraniol degradation; Biosynthesis of terpenoids and steroids; Biosynthesis of secondary metabolites
MTBLC10418	CHEBI:10418	trans-beta-farnesene	Sesquiterpenoid and triterpenoid biosynthesis
MTBLC10432	CHEBI:10432	2-naphthol	Metabolism of xenobiotics by cytochrome P450; Naphthalene family
MTBLC10443	CHEBI:10443	(+)-beta-selinene	Sesquiterpenoid and triterpenoid biosynthesis; Biosynthesis of secondary metabolites
MTBLC10525	CHEBI:10525	dTDP-beta-L-mycarose	Biosynthesis of 12-, 14- and 16-membered macrolides; Polyketide sugar unit biosynthesis; Biosynthesis of antibiotics
MTBLC10565	CHEBI:10565	gamma-glutamyl-beta-cyanoalanine	Cyanoamino acid metabolism
MTBLC10589	CHEBI:10589	m-toluic acid	Xylene degradation; Metabolic pathways; Microbial metabolism in diverse environments; Degradation of aromatic compounds
MTBLC10642	CHEBI:10642	scyllo-inositol	Inositol phosphate metabolism; Microbial metabolism in diverse environments
MTBLC10782	CHEBI:10782	(-)-perillyl alcohol	Monoterpenoid biosynthesis; Limonene and pinene degradation; Biosynthesis of secondary metabolites
MTBLC11010	CHEBI:11010	(R)-phenyllactoyl-CoA	Tropane, piperidine and pyridine alkaloid biosynthesis
MTBLC1109	CHEBI:1109	2-hexaprenyl-6-methoxyphenol	Ubiquinone and other terpenoid-quinone biosynthesis; Biosynthesis of secondary metabolites
MTBLC11412	CHEBI:11412	(2R,3S,4S)-leucocyanidin	Flavonoid biosynthesis; Biosynthesis of phenylpropanoids; Biosynthesis of secondary metabolites
MTBLC1142	CHEBI:1142	2-Hydroxy-cis-hex-2,4-dienoate	Xylene degradation; Steroid degradation; Metabolic pathways; Microbial metabolism in diverse environments; Degradation of aromatic compounds
